manpower_log_id,log_date,shift_number,line_id,operator_headcount,total_working_hours,effective_working_hours
MP-20260723-LINE-COIL-01-S1,2026-07-23,1,LINE-COIL-01,12,8.0,7.68
MP-20260723-LINE-COIL-01-S2,2026-07-23,2,LINE-COIL-01,12,8.0,7.67
MP-20260723-LINE-COIL-01-S3,2026-07-23,3,LINE-COIL-01,10,8.0,7.54
MP-20260723-LINE-STABILIZER-01-S1,2026-07-23,1,LINE-STABILIZER-01,8,8.0,7.76
MP-20260723-LINE-STABILIZER-01-S2,2026-07-23,2,LINE-STABILIZER-01,8,8.0,7.79
MP-20260723-LINE-STABILIZER-01-S3,2026-07-23,3,LINE-STABILIZER-01,6,8.0,7.49
MP-20260724-LINE-SPRING-01-S1,2026-07-24,1,LINE-SPRING-01,12,8.0,7.67
MP-20260724-LINE-SPRING-01-S2,2026-07-24,2,LINE-SPRING-01,11,8.0,7.81
MP-20260724-LINE-SPRING-01-S3,2026-07-24,3,LINE-SPRING-01,12,8.0,7.29
MP-20260724-LINE-SPRING-02-S1,2026-07-24,1,LINE-SPRING-02,7,8.0,7.74
MP-20260724-LINE-SPRING-02-S2,2026-07-24,2,LINE-SPRING-02,7,8.0,7.83
MP-20260724-LINE-SPRING-02-S3,2026-07-24,3,LINE-SPRING-02,8,8.0,7.14
MP-20260724-LINE-COIL-01-S1,2026-07-24,1,LINE-COIL-01,12,8.0,7.73
MP-20260724-LINE-COIL-01-S2,2026-07-24,2,LINE-COIL-01,12,8.0,7.79
MP-20260724-LINE-COIL-01-S3,2026-07-24,3,LINE-COIL-01,10,8.0,7.19
MP-20260724-LINE-STABILIZER-01-S1,2026-07-24,1,LINE-STABILIZER-01,8,8.0,7.65
MP-20260724-LINE-STABILIZER-01-S2,2026-07-24,2,LINE-STABILIZER-01,7,8.0,7.66
MP-20260724-LINE-STABILIZER-01-S3,2026-07-24,3,LINE-STABILIZER-01,8,8.0,7.56
MP-20260725-LINE-SPRING-01-S1,2026-07-25,1,LINE-SPRING-01,12,8.0,7.66
MP-20260725-LINE-SPRING-01-S2,2026-07-25,2,LINE-SPRING-01,12,8.0,7.62
MP-20260725-LINE-SPRING-01-S3,2026-07-25,3,LINE-SPRING-01,12,8.0,7.29
MP-20260725-LINE-SPRING-02-S1,2026-07-25,1,LINE-SPRING-02,8,8.0,7.61
MP-20260725-LINE-SPRING-02-S2,2026-07-25,2,LINE-SPRING-02,7,8.0,7.72
MP-20260725-LINE-SPRING-02-S3,2026-07-25,3,LINE-SPRING-02,8,8.0,7.44
MP-20260725-LINE-COIL-01-S1,2026-07-25,1,LINE-COIL-01,12,8.0,7.68
MP-20260725-LINE-COIL-01-S2,2026-07-25,2,LINE-COIL-01,12,8.0,7.66
MP-20260725-LINE-COIL-01-S3,2026-07-25,3,LINE-COIL-01,12,8.0,7.51
MP-20260725-LINE-STABILIZER-01-S1,2026-07-25,1,LINE-STABILIZER-01,7,8.0,7.73
MP-20260725-LINE-STABILIZER-01-S2,2026-07-25,2,LINE-STABILIZER-01,8,8.0,7.8
MP-20260725-LINE-STABILIZER-01-S3,2026-07-25,3,LINE-STABILIZER-01,8,8.0,7.48
MP-20260726-LINE-SPRING-01-S1,2026-07-26,1,LINE-SPRING-01,11,8.0,7.9
MP-20260726-LINE-SPRING-01-S2,2026-07-26,2,LINE-SPRING-01,12,8.0,7.61
MP-20260726-LINE-SPRING-01-S3,2026-07-26,3,LINE-SPRING-01,10,8.0,7.37
MP-20260726-LINE-SPRING-02-S1,2026-07-26,1,LINE-SPRING-02,8,8.0,7.66
MP-20260726-LINE-SPRING-02-S2,2026-07-26,2,LINE-SPRING-02,8,8.0,7.64
MP-20260726-LINE-SPRING-02-S3,2026-07-26,3,LINE-SPRING-02,8,8.0,7.51
MP-20260726-LINE-COIL-01-S1,2026-07-26,1,LINE-COIL-01,12,8.0,7.84
MP-20260726-LINE-COIL-01-S2,2026-07-26,2,LINE-COIL-01,11,8.0,7.88
MP-20260726-LINE-COIL-01-S3,2026-07-26,3,LINE-COIL-01,10,8.0,7.5
MP-20260726-LINE-STABILIZER-01-S1,2026-07-26,1,LINE-STABILIZER-01,7,8.0,7.77
MP-20260726-LINE-STABILIZER-01-S2,2026-07-26,2,LINE-STABILIZER-01,8,8.0,7.86
MP-20260726-LINE-STABILIZER-01-S3,2026-07-26,3,LINE-STABILIZER-01,6,8.0,7.28
MP-20260727-LINE-SPRING-01-S1,2026-07-27,1,LINE-SPRING-01,12,8.0,7.85
MP-20260727-LINE-SPRING-01-S2,2026-07-27,2,LINE-SPRING-01,12,8.0,7.65
MP-20260727-LINE-SPRING-01-S3,2026-07-27,3,LINE-SPRING-01,12,8.0,7.26
MP-20260727-LINE-SPRING-02-S1,2026-07-27,1,LINE-SPRING-02,8,8.0,7.75
MP-20260727-LINE-SPRING-02-S2,2026-07-27,2,LINE-SPRING-02,8,8.0,7.7
MP-20260727-LINE-SPRING-02-S3,2026-07-27,3,LINE-SPRING-02,8,8.0,7.44
MP-20260727-LINE-COIL-01-S1,2026-07-27,1,LINE-COIL-01,12,8.0,7.87
MP-20260727-LINE-COIL-01-S2,2026-07-27,2,LINE-COIL-01,12,8.0,7.83
MP-20260727-LINE-COIL-01-S3,2026-07-27,3,LINE-COIL-01,11,8.0,7.16
MP-20260727-LINE-STABILIZER-01-S1,2026-07-27,1,LINE-STABILIZER-01,7,8.0,7.75
MP-20260727-LINE-STABILIZER-01-S2,2026-07-27,2,LINE-STABILIZER-01,8,8.0,7.61
MP-20260727-LINE-STABILIZER-01-S3,2026-07-27,3,LINE-STABILIZER-01,8,8.0,7.14
MP-20260728-LINE-SPRING-01-S1,2026-07-28,1,LINE-SPRING-01,12,8.0,7.69
MP-20260728-LINE-SPRING-01-S2,2026-07-28,2,LINE-SPRING-01,11,8.0,7.82
MP-20260728-LINE-SPRING-01-S3,2026-07-28,3,LINE-SPRING-01,11,8.0,7.38
MP-20260728-LINE-SPRING-02-S1,2026-07-28,1,LINE-SPRING-02,8,8.0,7.69
MP-20260728-LINE-SPRING-02-S2,2026-07-28,2,LINE-SPRING-02,8,8.0,7.73
MP-20260728-LINE-SPRING-02-S3,2026-07-28,3,LINE-SPRING-02,8,8.0,7.36
MP-20260728-LINE-COIL-01-S1,2026-07-28,1,LINE-COIL-01,12,8.0,7.72
MP-20260728-LINE-COIL-01-S2,2026-07-28,2,LINE-COIL-01,12,8.0,7.88
MP-20260728-LINE-COIL-01-S3,2026-07-28,3,LINE-COIL-01,12,8.0,7.27
MP-20260728-LINE-STABILIZER-01-S1,2026-07-28,1,LINE-STABILIZER-01,8,8.0,7.81
MP-20260728-LINE-STABILIZER-01-S2,2026-07-28,2,LINE-STABILIZER-01,8,8.0,7.76
MP-20260728-LINE-STABILIZER-01-S3,2026-07-28,3,LINE-STABILIZER-01,7,8.0,7.15
MP-20260729-LINE-SPRING-01-S1,2026-07-29,1,LINE-SPRING-01,11,8.0,7.74
MP-20260729-LINE-SPRING-01-S2,2026-07-29,2,LINE-SPRING-01,12,8.0,7.73
MP-20260729-LINE-SPRING-01-S3,2026-07-29,3,LINE-SPRING-01,10,8.0,7.49
MP-20260729-LINE-SPRING-02-S1,2026-07-29,1,LINE-SPRING-02,8,8.0,7.82
MP-20260729-LINE-SPRING-02-S2,2026-07-29,2,LINE-SPRING-02,7,8.0,7.74
MP-20260729-LINE-SPRING-02-S3,2026-07-29,3,LINE-SPRING-02,7,8.0,7.21
MP-20260729-LINE-COIL-01-S1,2026-07-29,1,LINE-COIL-01,11,8.0,7.78
MP-20260729-LINE-COIL-01-S2,2026-07-29,2,LINE-COIL-01,12,8.0,7.64
MP-20260729-LINE-COIL-01-S3,2026-07-29,3,LINE-COIL-01,12,8.0,7.23
MP-20260729-LINE-STABILIZER-01-S1,2026-07-29,1,LINE-STABILIZER-01,8,8.0,7.81
MP-20260729-LINE-STABILIZER-01-S2,2026-07-29,2,LINE-STABILIZER-01,8,8.0,7.84
MP-20260729-LINE-STABILIZER-01-S3,2026-07-29,3,LINE-STABILIZER-01,8,8.0,7.23
MP-20260730-LINE-SPRING-01-S1,2026-07-30,1,LINE-SPRING-01,12,8.0,7.74
MP-20260730-LINE-SPRING-01-S2,2026-07-30,2,LINE-SPRING-01,11,8.0,7.89
MP-20260730-LINE-SPRING-01-S3,2026-07-30,3,LINE-SPRING-01,10,8.0,7.47
MP-20260730-LINE-SPRING-02-S1,2026-07-30,1,LINE-SPRING-02,7,8.0,7.88
MP-20260730-LINE-SPRING-02-S2,2026-07-30,2,LINE-SPRING-02,7,8.0,7.74
MP-20260730-LINE-SPRING-02-S3,2026-07-30,3,LINE-SPRING-02,8,8.0,7.51
MP-20260730-LINE-COIL-01-S1,2026-07-30,1,LINE-COIL-01,12,8.0,7.82
MP-20260730-LINE-COIL-01-S2,2026-07-30,2,LINE-COIL-01,11,8.0,7.64
MP-20260730-LINE-COIL-01-S3,2026-07-30,3,LINE-COIL-01,12,8.0,7.5
MP-20260730-LINE-STABILIZER-01-S1,2026-07-30,1,LINE-STABILIZER-01,8,8.0,7.61
MP-20260730-LINE-STABILIZER-01-S2,2026-07-30,2,LINE-STABILIZER-01,8,8.0,7.84
MP-20260730-LINE-STABILIZER-01-S3,2026-07-30,3,LINE-STABILIZER-01,8,8.0,7.27
